org_name,Year,Month,Recetpts,Disposals
Department of Financial Services (Pension Reforms),2019,10,153,138
Department of Financial Services (Pension Reforms),2019,11,4,9
Department of Fisheries,2019,8,16,1
Department of Fisheries,2019,9,36,45
Department of Fisheries,2019,10,24,25
Department of Food and Public Distribution,2016,1,195,125
Department of Food and Public Distribution,2016,2,257,206
Department of Food and Public Distribution,2016,3,252,287
Department of Food and Public Distribution,2016,4,266,244
Department of Food and Public Distribution,2016,5,310,285
Department of Food and Public Distribution,2016,6,302,342
Department of Food and Public Distribution,2016,7,411,332
Department of Food and Public Distribution,2016,8,384,377
Department of Food and Public Distribution,2016,9,287,323
Department of Food and Public Distribution,2016,10,328,219
Department of Food and Public Distribution,2016,11,231,350
Department of Food and Public Distribution,2016,12,364,307
Department of Food and Public Distribution,2017,1,301,342
Department of Food and Public Distribution,2017,2,283,245
Department of Food and Public Distribution,2017,3,364,346
Department of Food and Public Distribution,2017,4,291,276
Department of Food and Public Distribution,2017,5,349,380
Department of Food and Public Distribution,2017,6,336,372
Department of Food and Public Distribution,2017,7,341,312
Department of Food and Public Distribution,2017,8,267,323
Department of Food and Public Distribution,2017,9,245,241
Department of Food and Public Distribution,2017,10,249,207
Department of Food and Public Distribution,2017,11,294,295
Department of Food and Public Distribution,2017,12,250,265
Department of Food and Public Distribution,2018,1,235,254
Department of Food and Public Distribution,2018,2,197,218
Department of Food and Public Distribution,2018,3,211,231
Department of Food and Public Distribution,2018,4,212,193
Department of Food and Public Distribution,2018,5,306,290
Department of Food and Public Distribution,2018,6,179,204
Department of Food and Public Distribution,2018,7,268,208
Department of Food and Public Distribution,2018,8,277,267
Department of Food and Public Distribution,2018,9,302,242
Department of Food and Public Distribution,2018,10,310,358
Department of Food and Public Distribution,2018,11,382,370
Department of Food and Public Distribution,2018,12,407,416
Department of Food and Public Distribution,2019,1,351,372
Department of Food and Public Distribution,2019,2,473,431
Department of Food and Public Distribution,2019,3,555,572
Department of Food and Public Distribution,2019,4,271,334
Department of Food and Public Distribution,2019,5,263,296
Department of Food and Public Distribution,2019,6,366,325
Department of Food and Public Distribution,2019,7,524,480
Department of Food and Public Distribution,2019,8,450,469
Department of Food and Public Distribution,2019,9,426,425
Department of Food and Public Distribution,2019,10,290,295
Department of Food and Public Distribution,2019,11,9,1
Department of Health & Family Welfare,2016,1,1052,303
Department of Health & Family Welfare,2016,2,1528,959
Department of Health & Family Welfare,2016,3,1626,1489
Department of Health & Family Welfare,2016,4,1450,946
Department of Health & Family Welfare,2016,5,1891,2311
Department of Health & Family Welfare,2016,6,2167,1639
Department of Health & Family Welfare,2016,7,1550,1940
Department of Health & Family Welfare,2016,8,1952,1347
Department of Health & Family Welfare,2016,9,1883,1683
Department of Health & Family Welfare,2016,10,1612,1672
Department of Health & Family Welfare,2016,11,1475,1641
Department of Health & Family Welfare,2016,12,2018,1620
Department of Health & Family Welfare,2017,1,1664,2020
Department of Health & Family Welfare,2017,2,2688,2310
Department of Health & Family Welfare,2017,3,2489,3362
Department of Health & Family Welfare,2017,4,2285,1778
Department of Health & Family Welfare,2017,5,2514,1893
Department of Health & Family Welfare,2017,6,2056,2641
Department of Health & Family Welfare,2017,7,2012,2485
Department of Health & Family Welfare,2017,8,2404,1706
Department of Health & Family Welfare,2017,9,1688,2387
Department of Health & Family Welfare,2017,10,1696,1585
Department of Health & Family Welfare,2017,11,1559,1707
Department of Health & Family Welfare,2017,12,1233,1387
Department of Health & Family Welfare,2018,1,1327,1662
Department of Health & Family Welfare,2018,2,2685,1857
Department of Health & Family Welfare,2018,3,1339,1646
Department of Health & Family Welfare,2018,4,1489,1446
Department of Health & Family Welfare,2018,5,1957,1871
Department of Health & Family Welfare,2018,6,1621,1094
Department of Health & Family Welfare,2018,7,2410,2590
Department of Health & Family Welfare,2018,8,1853,1540
Department of Health & Family Welfare,2018,9,1769,1734
Department of Health & Family Welfare,2018,10,1680,1782
Department of Health & Family Welfare,2018,11,1238,1544
Department of Health & Family Welfare,2018,12,1224,1408
Department of Health & Family Welfare,2019,1,1485,1486
Department of Health & Family Welfare,2019,2,1494,1776
Department of Health & Family Welfare,2019,3,1636,1364
Department of Health & Family Welfare,2019,4,1296,1392
Department of Health & Family Welfare,2019,5,1276,1552
Department of Health & Family Welfare,2019,6,2201,1486
Department of Health & Family Welfare,2019,7,2090,3327
Department of Health & Family Welfare,2019,8,1907,1902
Department of Health & Family Welfare,2019,9,1820,1922
Department of Health & Family Welfare,2019,10,1595,1752
Department of Health & Family Welfare,2019,11,60,51
Department of Health Research,2016,1,37,5
Department of Health Research,2016,2,82,8
Department of Health Research,2016,3,76,4
Department of Health Research,2016,4,62,7
Department of Health Research,2016,5,71,45
Department of Health Research,2016,6,71,169
Department of Health Research,2016,7,71,62
Department of Health Research,2016,8,67,85
Department of Health Research,2016,9,66,105
Department of Health Research,2016,10,58,75
Department of Health Research,2016,11,39,38
Department of Health Research,2016,12,59,48
Department of Health Research,2017,1,44,61
Department of Health Research,2017,2,82,69
Department of Health Research,2017,3,125,120
Department of Health Research,2017,4,52,60
Department of Health Research,2017,5,121,117
Department of Health Research,2017,6,93,116
Department of Health Research,2017,7,150,104
Department of Health Research,2017,8,103,105
Department of Health Research,2017,9,59,81
Department of Health Research,2017,10,71,76
Department of Health Research,2017,11,91,50
Department of Health Research,2017,12,64,58
Department of Health Research,2018,1,47,36
Department of Health Research,2018,2,40,62
Department of Health Research,2018,3,54,39
Department of Health Research,2018,4,83,72
Department of Health Research,2018,5,165,137
Department of Health Research,2018,6,69,30
Department of Health Research,2018,7,106,67
Department of Health Research,2018,8,107,53
Department of Health Research,2018,9,79,88
Department of Health Research,2018,10,67,76
Department of Health Research,2018,11,64,50
Department of Health Research,2018,12,81,110
Department of Health Research,2019,1,86,169
Department of Health Research,2019,2,58,75
Department of Health Research,2019,3,73,70
Department of Health Research,2019,4,55,42
Department of Health Research,2019,5,42,59
Department of Health Research,2019,6,46,47
Department of Health Research,2019,7,96,120
Department of Health Research,2019,8,68,61
Department of Health Research,2019,9,99,78
Department of Health Research,2019,10,69,81
Department of Health Research,2019,11,3,12
Department of Heavy Industry,2016,1,123,21
Department of Heavy Industry,2016,2,178,106
Department of Heavy Industry,2016,3,222,129
Department of Heavy Industry,2016,4,119,263
Department of Heavy Industry,2016,5,123,139
Department of Heavy Industry,2016,6,140,114
Department of Heavy Industry,2016,7,146,178
Department of Heavy Industry,2016,8,114,120
Department of Heavy Industry,2016,9,132,103
Department of Heavy Industry,2016,10,126,109
Department of Heavy Industry,2016,11,114,131
Department of Heavy Industry,2016,12,111,115
Department of Heavy Industry,2017,1,126,110
Department of Heavy Industry,2017,2,130,100
Department of Heavy Industry,2017,3,168,186
Department of Heavy Industry,2017,4,129,141
Department of Heavy Industry,2017,5,211,175
Department of Heavy Industry,2017,6,156,158
Department of Heavy Industry,2017,7,137,181
Department of Heavy Industry,2017,8,174,144
Department of Heavy Industry,2017,9,108,146
Department of Heavy Industry,2017,10,113,99
Department of Heavy Industry,2017,11,155,160
Department of Heavy Industry,2017,12,114,113
Department of Heavy Industry,2018,1,80,108
Department of Heavy Industry,2018,2,82,97
Department of Heavy Industry,2018,3,103,77
Department of Heavy Industry,2018,4,132,135
Department of Heavy Industry,2018,5,186,168
Department of Heavy Industry,2018,6,106,79
Department of Heavy Industry,2018,7,133,202
Department of Heavy Industry,2018,8,122,109
Department of Heavy Industry,2018,9,112,98
Department of Heavy Industry,2018,10,115,123
Department of Heavy Industry,2018,11,94,114
Department of Heavy Industry,2018,12,104,120
Department of Heavy Industry,2019,1,99,118
Department of Heavy Industry,2019,2,111,102
Department of Heavy Industry,2019,3,118,118
Department of Heavy Industry,2019,4,106,121
Department of Heavy Industry,2019,5,88,76
Department of Heavy Industry,2019,6,100,99
Department of Heavy Industry,2019,7,121,103
Department of Heavy Industry,2019,8,145,135
Department of Heavy Industry,2019,9,151,159
Department of Heavy Industry,2019,10,120,137
Department of Heavy Industry,2019,11,7,20
Department of Higher Education,2016,1,1557,312
Department of Higher Education,2016,2,2127,1861
Department of Higher Education,2016,3,2467,3166
Department of Higher Education,2016,4,2435,2075
Department of Higher Education,2016,5,2396,2552
Department of Higher Education,2016,6,2555,2216
Department of Higher Education,2016,7,2400,2530
Department of Higher Education,2016,8,2755,2377
Department of Higher Education,2016,9,2245,2269
Department of Higher Education,2016,10,1847,1964
Department of Higher Education,2016,11,1609,1894
Department of Higher Education,2016,12,2140,1589
Department of Higher Education,2017,1,1727,1997
Department of Higher Education,2017,2,1805,1750
Department of Higher Education,2017,3,2763,2318
Department of Higher Education,2017,4,2325,2490
Department of Higher Education,2017,5,2333,2149
Department of Higher Education,2017,6,2384,2261
Department of Higher Education,2017,7,2534,2860
Department of Higher Education,2017,8,2500,2812
Department of Higher Education,2017,9,2363,1931
Department of Higher Education,2017,10,1856,1822
Department of Higher Education,2017,11,2064,1957
Department of Higher Education,2017,12,1524,2021
Department of Higher Education,2018,1,1264,1487
Department of Higher Education,2018,2,1403,1347
Department of Higher Education,2018,3,1561,1150
Department of Higher Education,2018,4,1406,1211
Department of Higher Education,2018,5,1958,1758
Department of Higher Education,2018,6,1677,1017
Department of Higher Education,2018,7,2149,2288
Department of Higher Education,2018,8,1941,2104
Department of Higher Education,2018,9,1527,2331
Department of Higher Education,2018,10,1975,1947
Department of Higher Education,2018,11,1345,1896
Department of Higher Education,2018,12,1268,1254
Department of Higher Education,2019,1,1371,1375
Department of Higher Education,2019,2,1466,1326
Department of Higher Education,2019,3,1319,1188
Department of Higher Education,2019,4,1227,1710
Department of Higher Education,2019,5,1471,1590
Department of Higher Education,2019,6,2014,1131
Department of Higher Education,2019,7,2369,1788
Department of Higher Education,2019,8,2085,2480
Department of Higher Education,2019,9,2077,2152
Department of Higher Education,2019,10,1669,1614
Department of Higher Education,2019,11,43,34
Department of Industrial Policy & Promotion,2016,1,295,133
Department of Industrial Policy & Promotion,2016,2,243,190
Department of Industrial Policy & Promotion,2016,3,197,158
Department of Industrial Policy & Promotion,2016,4,191,153
Department of Industrial Policy & Promotion,2016,5,155,263
Department of Industrial Policy & Promotion,2016,6,178,326
Department of Industrial Policy & Promotion,2016,7,154,132
Department of Industrial Policy & Promotion,2016,8,151,142
Department of Industrial Policy & Promotion,2016,9,222,192
Department of Industrial Policy & Promotion,2016,10,216,220
Department of Industrial Policy & Promotion,2016,11,112,137
Department of Industrial Policy & Promotion,2016,12,156,138
Department of Industrial Policy & Promotion,2017,1,144,141
Department of Industrial Policy & Promotion,2017,2,154,173
Department of Industrial Policy & Promotion,2017,3,238,228
Department of Industrial Policy & Promotion,2017,4,174,189
Department of Industrial Policy & Promotion,2017,5,229,209
Department of Industrial Policy & Promotion,2017,6,232,243
Department of Industrial Policy & Promotion,2017,7,280,287
Department of Industrial Policy & Promotion,2017,8,181,206
Department of Industrial Policy & Promotion,2017,9,172,168
Department of Industrial Policy & Promotion,2017,10,168,149
Department of Industrial Policy & Promotion,2017,11,199,219
Department of Industrial Policy & Promotion,2017,12,131,135
Department of Industrial Policy & Promotion,2018,1,111,105
Department of Industrial Policy & Promotion,2018,2,249,229
Department of Industrial Policy & Promotion,2018,3,117,135
Department of Industrial Policy & Promotion,2018,4,132,125
Department of Industrial Policy & Promotion,2018,5,183,189
Department of Industrial Policy & Promotion,2018,6,127,119
Department of Industrial Policy & Promotion,2018,7,168,148
Department of Industrial Policy & Promotion,2018,8,218,208
Department of Industrial Policy & Promotion,2018,9,115,131
Department of Industrial Policy & Promotion,2018,10,152,137
Department of Industrial Policy & Promotion,2018,11,99,120
Department of Industrial Policy & Promotion,2018,12,148,139
Department of Industrial Policy & Promotion,2019,1,173,194
Department of Industrial Policy & Promotion,2019,2,167,158
Department of Industrial Policy & Promotion,2019,3,198,185
Department of Industrial Policy & Promotion,2019,4,136,159
Department of Industrial Policy & Promotion,2019,5,148,147
Department of Industrial Policy & Promotion,2019,6,132,144
Department of Industrial Policy & Promotion,2019,7,181,184
Department of Industrial Policy & Promotion,2019,8,147,144
Department of Industrial Policy & Promotion,2019,9,185,185
Department of Industrial Policy & Promotion,2019,10,155,158
Department of Industrial Policy & Promotion,2019,11,4,7
Department of Investment & Public Asset Management,2016,1,15,10
Department of Investment & Public Asset Management,2016,2,18,9
Department of Investment & Public Asset Management,2016,3,36,27
Department of Investment & Public Asset Management,2016,4,26,37
Department of Investment & Public Asset Management,2016,5,31,33
Department of Investment & Public Asset Management,2016,6,21,17
Department of Investment & Public Asset Management,2016,7,19,1
Department of Investment & Public Asset Management,2016,8,11,31
Department of Investment & Public Asset Management,2016,9,57,64
Department of Investment & Public Asset Management,2016,10,26,22
Department of Investment & Public Asset Management,2016,11,41,37
Department of Investment & Public Asset Management,2016,12,29,34
Department of Investment & Public Asset Management,2017,1,28,21
Department of Investment & Public Asset Management,2017,2,27,27
Department of Investment & Public Asset Management,2017,3,37,39
Department of Investment & Public Asset Management,2017,4,32,19
Department of Investment & Public Asset Management,2017,5,35,38
Department of Investment & Public Asset Management,2017,6,31,40
Department of Investment & Public Asset Management,2017,7,68,69
Department of Investment & Public Asset Management,2017,8,31,32
Department of Investment & Public Asset Management,2017,9,31,31
Department of Investment & Public Asset Management,2017,10,32,37
Department of Investment & Public Asset Management,2017,11,69,73
Department of Investment & Public Asset Management,2017,12,37,34
Department of Investment & Public Asset Management,2018,1,38,26
Department of Investment & Public Asset Management,2018,2,25,39
Department of Investment & Public Asset Management,2018,3,36,28
Department of Investment & Public Asset Management,2018,4,58,50
Department of Investment & Public Asset Management,2018,5,87,99
Department of Investment & Public Asset Management,2018,6,28,29
Department of Investment & Public Asset Management,2018,7,31,30
Department of Investment & Public Asset Management,2018,8,22,29
Department of Investment & Public Asset Management,2018,9,25,23
Department of Investment & Public Asset Management,2018,10,24,26
Department of Investment & Public Asset Management,2018,11,19,19
Department of Investment & Public Asset Management,2018,12,37,35
Department of Investment & Public Asset Management,2019,1,51,46
Department of Investment & Public Asset Management,2019,2,46,45
Department of Investment & Public Asset Management,2019,3,62,62
Department of Investment & Public Asset Management,2019,4,37,39
Department of Investment & Public Asset Management,2019,5,43,38
Department of Investment & Public Asset Management,2019,6,50,34
Department of Investment & Public Asset Management,2019,7,48,53
Department of Investment & Public Asset Management,2019,8,49,42
Department of Investment & Public Asset Management,2019,9,50,64
Department of Investment & Public Asset Management,2019,10,41,50
Department of Investment & Public Asset Management,2019,11,2,2
Department of Justice,2016,1,1239,679
Department of Justice,2016,2,1260,975
Department of Justice,2016,3,965,1331
Department of Justice,2016,4,670,925
Department of Justice,2016,5,588,714
Department of Justice,2016,6,642,543
Department of Justice,2016,7,544,452
Department of Justice,2016,8,753,593
Department of Justice,2016,9,739,584
Department of Justice,2016,10,640,921
Department of Justice,2016,11,647,800
Department of Justice,2016,12,906,686
Department of Justice,2017,1,834,1025
Department of Justice,2017,2,554,584
Department of Justice,2017,3,1100,1160
Department of Justice,2017,4,979,938
Department of Justice,2017,5,1065,1082
Department of Justice,2017,6,897,974
Department of Justice,2017,7,1169,1125
Department of Justice,2017,8,1182,1250
Department of Justice,2017,9,1037,929
Department of Justice,2017,10,613,525
Department of Justice,2017,11,679,610
Department of Justice,2017,12,564,753
Department of Justice,2018,1,578,616
Department of Justice,2018,2,535,446
Department of Justice,2018,3,671,440
Department of Justice,2018,4,669,661
Department of Justice,2018,5,858,867
Department of Justice,2018,6,486,555
Department of Justice,2018,7,618,523
Department of Justice,2018,8,697,348
Department of Justice,2018,9,629,840
Department of Justice,2018,10,748,929
Department of Justice,2018,11,591,576
Department of Justice,2018,12,494,293
Department of Justice,2019,1,561,643
Department of Justice,2019,2,620,974
Department of Justice,2019,3,563,601
Department of Justice,2019,4,593,626
Department of Justice,2019,5,620,632
Department of Justice,2019,6,667,602
Department of Justice,2019,7,917,933
Department of Justice,2019,8,808,877
Department of Justice,2019,9,1069,995
Department of Justice,2019,10,767,678
Department of Justice,2019,11,20,11
Department of Land Resources,2016,1,48,3
Department of Land Resources,2016,2,44,40
Department of Land Resources,2016,3,77,116
Department of Land Resources,2016,4,42,52
Department of Land Resources,2016,5,39,41
Department of Land Resources,2016,6,65,70
Department of Land Resources,2016,7,42,2
Department of Land Resources,2016,8,69,21
Department of Land Resources,2016,9,39,2
Department of Land Resources,2016,10,35,76
Department of Land Resources,2016,11,79,118
Department of Land Resources,2016,12,104,64
Department of Land Resources,2017,1,47,64
Department of Land Resources,2017,2,97,7
Department of Land Resources,2017,3,71,76
Department of Land Resources,2017,4,82,50
Department of Land Resources,2017,5,82,207
Department of Land Resources,2017,6,92,96
Department of Land Resources,2017,7,82,84
Department of Land Resources,2017,8,78,90
Department of Land Resources,2017,9,72,90
Department of Land Resources,2017,10,65,18
Department of Land Resources,2017,11,68,119
Department of Land Resources,2017,12,64,67
Department of Land Resources,2018,1,39,53
Department of Land Resources,2018,2,38,15
Department of Land Resources,2018,3,41,4
Department of Land Resources,2018,4,49,10
Department of Land Resources,2018,5,101,175
Department of Land Resources,2018,6,31,31
Department of Land Resources,2018,7,45,56
Department of Land Resources,2018,8,50,63
Department of Land Resources,2018,9,36,37
Department of Land Resources,2018,10,42,36
Department of Land Resources,2018,11,42,45
Department of Land Resources,2018,12,55,38
Department of Land Resources,2019,1,61,70
Department of Land Resources,2019,2,66,65
Department of Land Resources,2019,3,80,75
Department of Land Resources,2019,4,30,6
Department of Land Resources,2019,5,43,1
Department of Land Resources,2019,6,64,79
Department of Land Resources,2019,7,81,49
Department of Land Resources,2019,8,61,28
Department of Land Resources,2019,9,81,101
Department of Land Resources,2019,10,43,13
Department of Land Resources,2019,11,3,10
Department of Legal Affairs,2016,1,379,273
Department of Legal Affairs,2016,2,396,254
Department of Legal Affairs,2016,3,264,277
Department of Legal Affairs,2016,4,200,173
Department of Legal Affairs,2016,5,180,144
Department of Legal Affairs,2016,6,201,29
Department of Legal Affairs,2016,7,175,249
Department of Legal Affairs,2016,8,269,80
Department of Legal Affairs,2016,9,250,127
Department of Legal Affairs,2016,10,233,141
Department of Legal Affairs,2016,11,267,242
Department of Legal Affairs,2016,12,321,193
Department of Legal Affairs,2017,1,265,120
Department of Legal Affairs,2017,2,233,281
Department of Legal Affairs,2017,3,449,299
Department of Legal Affairs,2017,4,341,151
Department of Legal Affairs,2017,5,410,592
Department of Legal Affairs,2017,6,347,534
Department of Legal Affairs,2017,7,304,327
Department of Legal Affairs,2017,8,335,289
Department of Legal Affairs,2017,9,249,179
Department of Legal Affairs,2017,10,222,179
Department of Legal Affairs,2017,11,240,218
Department of Legal Affairs,2017,12,224,89
Department of Legal Affairs,2018,1,200,174
Department of Legal Affairs,2018,2,176,137
Department of Legal Affairs,2018,3,238,114
Department of Legal Affairs,2018,4,264,327
Department of Legal Affairs,2018,5,272,239
Department of Legal Affairs,2018,6,158,91
Department of Legal Affairs,2018,7,236,118
Department of Legal Affairs,2018,8,213,170
Department of Legal Affairs,2018,9,181,145
Department of Legal Affairs,2018,10,224,84
Department of Legal Affairs,2018,11,225,96
Department of Legal Affairs,2018,12,198,288
Department of Legal Affairs,2019,1,233,90
Department of Legal Affairs,2019,2,311,218
Department of Legal Affairs,2019,3,349,226
Department of Legal Affairs,2019,4,183,105
Department of Legal Affairs,2019,5,169,93
Department of Legal Affairs,2019,6,211,140
Department of Legal Affairs,2019,7,241,182
Department of Legal Affairs,2019,8,318,129
Department of Legal Affairs,2019,9,293,135
Department of Legal Affairs,2019,10,304,447
Department of Official Language,2016,1,12,5
Department of Official Language,2016,2,26,22
Department of Official Language,2016,3,25,32
Department of Official Language,2016,4,14,10
Department of Official Language,2016,5,31,34
Department of Official Language,2016,6,28,32
Department of Official Language,2016,7,29,20
Department of Official Language,2016,8,35,39
Department of Official Language,2016,9,59,60
Department of Official Language,2016,10,27,22
Department of Official Language,2016,11,26,24
Department of Official Language,2016,12,20,17
Department of Official Language,2017,1,17,27
Department of Official Language,2017,2,20,17
Department of Official Language,2017,3,31,25
Department of Official Language,2017,4,31,27
Department of Official Language,2017,5,27,33
Department of Official Language,2017,6,27,35
Department of Official Language,2017,7,20,19
Department of Official Language,2017,8,25,23
Department of Official Language,2017,9,27,20
Department of Official Language,2017,10,11,18
Department of Official Language,2017,11,32,25
Department of Official Language,2017,12,28,20
Department of Official Language,2018,1,22,27
Department of Official Language,2018,2,24,35
Department of Official Language,2018,3,30,22
Department of Official Language,2018,4,44,26
Department of Official Language,2018,5,69,69
Department of Official Language,2018,6,12,35
Department of Official Language,2018,7,34,29
Department of Official Language,2018,8,53,31
Department of Official Language,2018,9,35,45
Department of Official Language,2018,10,27,27
Department of Official Language,2018,11,11,26
Department of Official Language,2018,12,33,26
Department of Official Language,2019,1,39,41
Department of Official Language,2019,2,50,35
Department of Official Language,2019,3,45,25
Department of Official Language,2019,4,15,60
Department of Official Language,2019,5,10,6
Department of Official Language,2019,6,26,19
Department of Official Language,2019,7,26,27
Department of Official Language,2019,8,20,20
Department of Official Language,2019,9,47,29
Department of Official Language,2019,10,38,59
Department of Official Language,2019,11,1,1
Department of Personnel and Training,2016,1,915,291
Department of Personnel and Training,2016,2,13746,13001
Department of Personnel and Training,2016,3,2794,2074
Department of Personnel and Training,2016,4,1431,919
Department of Personnel and Training,2016,5,1166,2834
Department of Personnel and Training,2016,6,1636,1158
Department of Personnel and Training,2016,7,967,1514
Department of Personnel and Training,2016,8,1362,1141
Department of Personnel and Training,2016,9,2619,1957
Department of Personnel and Training,2016,10,1760,2217
Department of Personnel and Training,2016,11,1801,1918
Department of Personnel and Training,2016,12,6313,1384
Department of Personnel and Training,2017,1,5057,8558
Department of Personnel and Training,2017,2,1467,2568
Department of Personnel and Training,2017,3,2206,2324
Department of Personnel and Training,2017,4,2125,2336
Department of Personnel and Training,2017,5,4603,1674
Department of Personnel and Training,2017,6,1866,3717
Department of Personnel and Training,2017,7,2065,3032
Department of Personnel and Training,2017,8,4032,3061
Department of Personnel and Training,2017,9,2206,2829
Department of Personnel and Training,2017,10,1475,1601
Department of Personnel and Training,2017,11,3956,2446
Department of Personnel and Training,2017,12,1827,3558
Department of Personnel and Training,2018,1,1880,1039
Department of Personnel and Training,2018,2,919,1505
Department of Personnel and Training,2018,3,3292,1855
Department of Personnel and Training,2018,4,1140,2695
Department of Personnel and Training,2018,5,2757,1002
Department of Personnel and Training,2018,6,1753,2690
Department of Personnel and Training,2018,7,1049,1567
Department of Personnel and Training,2018,8,1387,1604
Department of Personnel and Training,2018,9,1277,1363
Department of Personnel and Training,2018,10,1322,1427
Department of Personnel and Training,2018,11,838,944
Department of Personnel and Training,2018,12,908,889
Department of Personnel and Training,2019,1,857,674
Department of Personnel and Training,2019,2,1245,1185
Department of Personnel and Training,2019,3,1035,1031
Department of Personnel and Training,2019,4,834,853
Department of Personnel and Training,2019,5,981,978
Department of Personnel and Training,2019,6,1400,1349
Department of Personnel and Training,2019,7,1230,1589
Department of Personnel and Training,2019,8,1108,958
Department of Personnel and Training,2019,9,1346,1263
Department of Personnel and Training,2019,10,1226,1346
Department of Personnel and Training,2019,11,26,148
Department of Pharmaceutical,2016,2,304,1
Department of Pharmaceutical,2016,4,65,337
Department of Pharmaceutical,2016,5,72,164
Department of Pharmaceutical,2016,6,107,105
Department of Pharmaceutical,2016,7,95,182
Department of Pharmaceutical,2016,8,114,75
Department of Pharmaceutical,2016,9,95,73
Department of Pharmaceutical,2016,10,105,41
Department of Pharmaceutical,2016,11,104,4
Department of Pharmaceutical,2016,12,150,54
Department of Pharmaceutical,2017,1,169,245
Department of Pharmaceutical,2017,2,144,38
Department of Pharmaceutical,2017,3,155,32
Department of Pharmaceutical,2017,4,177,235
Department of Pharmaceutical,2017,5,218,246
Department of Pharmaceutical,2017,6,171,153
Department of Pharmaceutical,2017,7,195,115
Department of Pharmaceutical,2017,8,142,123
Department of Pharmaceutical,2017,9,115,314
Department of Pharmaceutical,2017,10,101,301
Department of Pharmaceutical,2017,11,143,186
Department of Pharmaceutical,2017,12,101,101
Department of Pharmaceutical,2018,1,92,86
Department of Pharmaceutical,2018,2,121,91
Department of Pharmaceutical,2018,3,95,118
Department of Pharmaceutical,2018,4,110,96
Department of Pharmaceutical,2018,5,181,145
Department of Pharmaceutical,2018,6,98,117
Department of Pharmaceutical,2018,7,169,156
Department of Pharmaceutical,2018,8,179,159
Department of Pharmaceutical,2018,9,151,197
Department of Pharmaceutical,2018,10,170,192
Department of Pharmaceutical,2018,11,571,562
Department of Pharmaceutical,2018,12,219,93
Department of Pharmaceutical,2019,1,151,301
Department of Pharmaceutical,2019,2,301,151
Department of Pharmaceutical,2019,3,133,299
Department of Pharmaceutical,2019,4,90,104
Department of Pharmaceutical,2019,5,74,65
Department of Pharmaceutical,2019,6,105,103
Department of Pharmaceutical,2019,7,146,158
Department of Pharmaceutical,2019,8,122,119
Department of Pharmaceutical,2019,9,112,104
Department of Pharmaceutical,2019,10,100,119
Department of Pharmaceutical,2019,11,4,1
Department of Posts,2016,1,1585,814
Department of Posts,2016,2,1717,1702
Department of Posts,2016,3,1942,1794
Department of Posts,2016,4,2028,1907
Department of Posts,2016,5,2180,2086
Department of Posts,2016,6,2166,2091
Department of Posts,2016,7,2054,2042
Department of Posts,2016,8,3021,2633
Department of Posts,2016,9,2844,3159
Department of Posts,2016,10,3267,2639
Department of Posts,2016,11,3156,3248
Department of Posts,2016,12,3307,3570
Department of Posts,2017,1,3275,3690
Department of Posts,2017,2,3184,3152
Department of Posts,2017,3,3386,3484
Department of Posts,2017,4,3763,3501
Department of Posts,2017,5,4317,4438
Department of Posts,2017,6,2992,3028
Department of Posts,2017,7,3564,3092
Department of Posts,2017,8,4033,4125
Department of Posts,2017,9,3868,3642
Department of Posts,2017,10,3215,3485
Department of Posts,2017,11,4396,3938
Department of Posts,2017,12,5597,4344
Department of Posts,2018,1,2830,4681
Department of Posts,2018,2,2648,2558
Department of Posts,2018,3,2941,2703
Department of Posts,2018,4,2948,2824
Department of Posts,2018,5,3525,3561
Department of Posts,2018,6,3315,3168
Department of Posts,2018,7,3864,3683
Department of Posts,2018,8,4267,3774
Department of Posts,2018,9,4042,3790
Department of Posts,2018,10,3924,4319
Department of Posts,2018,11,3185,3339
Department of Posts,2018,12,3935,3656
Department of Posts,2019,1,4230,4478
Department of Posts,2019,2,3536,3592
Department of Posts,2019,3,3290,3128
Department of Posts,2019,4,3103,3214
Department of Posts,2019,5,3087,3612
Department of Posts,2019,6,3399,3216
Department of Posts,2019,7,4119,4105
Department of Posts,2019,8,3854,3697
Department of Posts,2019,9,3636,3721
Department of Posts,2019,10,3979,4113
Department of Posts,2019,11,74,145
Department of Public Enterprises,2016,1,34,32
Department of Public Enterprises,2016,2,69,62
Department of Public Enterprises,2016,3,45,52
Department of Public Enterprises,2016,4,68,57
Department of Public Enterprises,2016,5,63,68
Department of Public Enterprises,2016,6,108,55
Department of Public Enterprises,2016,7,66,125
Department of Public Enterprises,2016,8,124,115
Department of Public Enterprises,2016,9,66,65
Department of Public Enterprises,2016,10,101,82
Department of Public Enterprises,2016,11,100,119
Department of Public Enterprises,2016,12,77,56
Department of Public Enterprises,2017,1,83,64
Department of Public Enterprises,2017,2,95,111
Department of Public Enterprises,2017,3,112,76
Department of Public Enterprises,2017,4,182,4
Department of Public Enterprises,2017,5,84,288
Department of Public Enterprises,2017,6,88,59
Department of Public Enterprises,2017,7,124,107
Department of Public Enterprises,2017,8,109,94
Department of Public Enterprises,2017,9,77,104
Department of Public Enterprises,2017,10,71,38
Department of Public Enterprises,2017,11,111,143
Department of Public Enterprises,2017,12,84,102
Department of Public Enterprises,2018,1,46,90
Department of Public Enterprises,2018,2,33,30
Department of Public Enterprises,2018,3,61,50
Department of Public Enterprises,2018,4,67,40
Department of Public Enterprises,2018,5,178,151
Department of Public Enterprises,2018,6,65,120
